name,type
assigned_to_bot,boolean
assigned_to_domain,keyword
assigned_to_id,keyword
assigned_to_name,keyword
assigned_to_org_name,keyword
assigned_to_realName,keyword
assigned_to_roles_analyzed,text
assigned_to_roles,keyword
assigned_to_user_name,keyword
assigned_to_userName,keyword
assigned_to_uuid,keyword
author_bot,boolean
authorData_bot,boolean
authorData_domain,keyword
authorData_id,keyword
authorData_name,keyword
authorData_org_name,keyword
authorData_user_name,keyword
authorData_uuid,keyword
author_domain,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_realName,keyword
author_roles,keyword
author_user_name,keyword
author_userName,keyword
author_uuid,keyword
bug_id,long
changes_assignee_list,keyword
changes_assignee_number,long
changes_assignment,long
changes,long
comments,long
creation_date,date
grimoire_creation_date,date
id,long
is_phabricator_task,long
main_description_analyzed,text
main_description,keyword
metadata__timestamp,date
metadata__updated_on,date
modification_date,date
num_changes,long
ocean-unique-id,keyword
origin,keyword
ownerData_bot,boolean
ownerData_domain,keyword
ownerData_id,keyword
ownerData_name,keyword
ownerData_org_name,keyword
ownerData_user_name,keyword
ownerData_uuid,keyword
phid,keyword
priority,keyword
priority_value,long
project_1,keyword
project,keyword
status,keyword
tag,keyword
tags_analyzed,text
tags_custom_analyzed,keyword
tags,keyword
time_open_days_enrich,float
timeopen_days,float
time_to_assign_days,float
time_to_attend_days,float
time_to_close_days,float
type,keyword
update_date,date
url,keyword
uuid,keyword
