name,type
author_bot,boolean
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,long
author_uuid,keyword
comment,keyword
description_analyzed,text
event_url,keyword
grimoire_creation_date,date
group_created,long
group_geolocation,geo_point
group_id,long
group_join_mode,keyword
group_members,long
group_name,keyword
group_topics_keys,keyword
group_topics,keyword
group_who,keyword
id,keyword
is_meetup_comment,long
is_meetup_meetup,long
is_meetup_rsvp,long
like_count,long
meetup_created,long
meetup_description,keyword
meetup_duration,long
meetup_featured,boolean
meetup_name,keyword
meetup_plain_text_description,keyword
meetup_rsvpable,boolean
meetup_status,keyword
meetup_time,long
meetup_updated,long
meetup_utc_offset,long
meetup_visibility,keyword
meetup_waitlist_count,long
meetup_yes_rsvp_count,long
member_id,long
member_is_host,boolean
member_name,keyword
member_photo_id,long
member_photo_type,keyword
member_photo_url,keyword
member_url,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
num_comments,long
num_rsvps,long
ocean-unique-id,keyword
origin,keyword
rsvps_guests,long
rsvps_response,keyword
rsvps_updated,long
tag,keyword
time_date,date
type,keyword
url,keyword
uuid,keyword
venue_address_1,keyword
venue_city,keyword
venue_country,keyword
venue_geolocation,geo_point
venue_id,long
venue_localized_country_name,keyword
venue_name,keyword
venue_repinned,boolean
venue_state,keyword
venue_zip,keyword
