name,type,aggregatable,description
addedlines,long,true,"Number of lines added in this file by this commit (only in this file, not the whole commit)."
author_bot,boolean,true,"True if the given author is identified as a bot."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_id,keyword,true,"Author Id from SortingHat."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Organization name."
author_user_name,keyword,true,"Author user name."
author_uuid,keyword,true,"Author UUID from SortingHat."
committer,keyword,true,"Committer name as it appears in commit (including e-mail)."
committer_date,date,true,"Date when committer made this commit."
date,date,true,"Author date (when the original author made the commit)."
eventtype,keyword,true,"COMMIT."
file_dir_name,keyword,true,"Path in which the file is located, not including file name."
file_ext,keyword,true,"File extension."
file_name,keyword,true,"File name with extension."
file_path_list,keyword,true,"List of split path parts."
fileaction,keyword,true,"Action performed by the commit over the file."
filepath,keyword,true,"Complete file path."
files,long,true,"Number of files touched by the same commit this file is included in."
filetype,keyword,true,"Code or Other, based on file extension."
git_author_domain,keyword,true,"Domain extracted from author email included within the commit, if any."
grimoire_creation_date,date,true,"Author date (when the original author made the commit)."
hash,keyword,true,"Commit hash."
id,keyword,true,"Commit hash."
message,text,false,"Commit message split by terms."
message.keyword,keyword,true,"Commit message as a single String."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated in its original data source."
owner,keyword,true,"Owner (code author) name as it appears in commit (including e-mail)."
perceval_uuid,keyword,true,"Perceval UUID."
project,keyword,true,"Project."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)."
removedlines,long,true,"Number of lines removed in this file by this commit (only in this file, not the whole commit)."
repository,keyword,true,"Repository name."
uuid,keyword,true,"Item unique identifier. Same as '_id'"
