name,type
assigned,keyword
assigned_to_bot,boolean
assigned_to_detail_bot,boolean
assigned_to_detail_domain,keyword
assigned_to_detail_gender,keyword
assigned_to_detail_gender_acc,long
assigned_to_detail_id,keyword
assigned_to_detail_multi_org_names,keyword
assigned_to_detail_name,keyword
assigned_to_detail_org_name,keyword
assigned_to_detail_user_name,keyword
assigned_to_detail_uuid,keyword
assigned_to_domain,keyword
assigned_to_gender,keyword
assigned_to_gender_acc,keyword
assigned_to_id,keyword
assigned_to_multi_org_names,keyword
assigned_to_name,keyword
assigned_to_org_name,keyword
assigned_to_user_name,keyword
assigned_to_uuid,keyword
author_bot,boolean
author_domain,keyword
author_gender,keyword
author_gender_acc,keyword
author_id,keyword
author_multi_org_names,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_uuid,keyword
bug_id,keyword
changeddate_date,date
changes,long
comments,long
component,keyword
creation_date,date
creation_ts,date
creator,keyword
creator_detail_bot,boolean
creator_detail_domain,keyword
creator_detail_gender,keyword
creator_detail_gender_acc,long
creator_detail_id,keyword
creator_detail_multi_org_names,keyword
creator_detail_name,keyword
creator_detail_org_name,keyword
creator_detail_user_name,keyword
creator_detail_uuid,keyword
delta_ts,date
description,keyword
description_analyzed,string
grimoire_creation_date,date
id,long
is_bugzilla_bug,long
is_bugzillarest_bugrest,long
is_open,boolean
labels,list
main_description,keyword
main_description_analyzed,string,false
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
op_sys,keyword
origin,keyword
painless_time_to_now,float
platform,keyword
priority,keyword
product,keyword
project,keyword
project_1,keyword
qa_contact_bot,boolean
qa_contact_detail_bot,boolean
qa_contact_detail_domain,keyword
qa_contact_detail_gender,keyword
qa_contact_detail_gender_acc,long
qa_contact_detail_id,keyword
qa_contact_detail_multi_org_names,keyword
qa_contact_detail_name,keyword
qa_contact_detail_org_name,keyword
qa_contact_detail_user_name,keyword
qa_contact_detail_uuid,keyword
qa_contact_domain,keyword
qa_contact_gender,keyword
qa_contact_gender_acc,keyword
qa_contact_id,keyword
qa_contact_multi_org_names,keyword
qa_contact_name,keyword
qa_contact_org_name,keyword
qa_contact_user_name,keyword
qa_contact_uuid,keyword
reporter_bot,boolean
reporter_domain,keyword
reporter_gender,keyword
reporter_gender_acc,keyword
reporter_id,keyword
reporter_multi_org_names,keyword
reporter_name,keyword
reporter_org_name,keyword
reporter_user_name,keyword
reporter_uuid,keyword
repository_labels,keyword
resolution,keyword
resolution_days,float
severity,keyword
status,keyword
tag,keyword
timeopen_days,float
url,keyword
uuid,keyword
whiteboard,keyword
