name,type,aggregatable
metadata__timestamp,date,true
metadata__updated_on,date,true
updated_at,date,true
_id,long,true
_index,text,true
_score,long,true
_type,text,true
author_avatar,text,true
author_bot,boolean,true
author_domain,text,true
author_id,text,true
author_login,text,true
author_name,text,true
author_org_name,text,true
author_url,text,true
author_user_name,text,true
author_uuid,text,true
badges,text,true
categories,text,true
created_at,date,true
description,text,true
description_analyzed,text,false
downloads,long,true
grimoire_creation_date,date,true
homepage,text,true
id,text,true
is_crates_crates,long,true
keywords,text,true
max_version,text,true
metadata__enriched_on,date,true
metadata__gelk_backend_name,text,true
metadata__gelk_version,text,true
name,text,true
origin,text,true
owner_user_data_bot,boolean,true
owner_user_data_domain,text,true
owner_user_data_id,text,true
owner_user_data_name,text,true
owner_user_data_org_name,text,true
owner_user_data_user_name,text,true
owner_user_data_uuid,text,true
project,text,true
project_1,text,true
recent_downloads,long,true
repository,text,true
repository_labels,keyword,true
tag,text,true
uuid,text,true
versions,text,true
