name,type,aggregatable,description
author_date,date,true,"Author date (when the original author made the commit)."
commit_date,date,true,"Date when committer made this commit."
commit_sha,string,true,"Commit hash."
dependency,string,true,"Name of the dependency."
file_path,string,true,"File Path"
grimoire_creation_date,date,true,"Commit date (when the original author made the commit)."
id,string,true,"Graal Item Id."
is_dockerdeps_file,number,true,"Field containing '1' that allows to sum fields when concatenating with other indexes."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
origin,keyword,true,"Original URL where the repository was retrieved from."
project,keyword,true,"Project."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)."
