name,type,aggregatable,description,"raw / calculated"
acked_by_multi_bots,boolean,true,"List of true if the given acked authors are identified as bots.","GrimoireLab / SortingHat"
acked_by_multi_domains,keyword,true,"List of domains associated to the acked authors in SortingHat profile.","GrimoireLab / SortingHat"
acked_by_multi_names,keyword,true,"List of acked authors' names.","GrimoireLab / SortingHat"
acked_by_multi_org_names,keyword,true,"List of the acked author organizations from SortingHat profile.","GrimoireLab / SortingHat"
acked_by_multi_uuids,keyword,true,"List of the acked authors UUID from SortingHat.","GrimoireLab / SortingHat"
author_bot,boolean,true,"True if the given author is identified as a bot.","GrimoireLab / SortingHat"
author_date_hour,long,true,"Hour of day when the original author made the commit.","Data Source / Parsed"
author_date_weekday,long,true,"Day of the week when the original author made the commit.","Data Source / Parsed"
author_date,date,true,"Author date (when the original author made the commit).","Data Source / Parsed"
author_domain,keyword,true,"Domain associated to the author in SortingHat profile.","GrimoireLab / SortingHat"
author_id,keyword,true,"Author Id from SortingHat.","GrimoireLab / SortingHat"
author_max_date,date,true,"Date of most recent commit made by this author.","GrimoireLab"
author_min_date,date,true,"Date of the first commit made by this author.","GrimoireLab"
author_multi_org_names,keyword,true,"List of the author organizations from SortingHat profile.","GrimoireLab / SortingHat"
author_name,keyword,true,"Author name.","GrimoireLab / SortingHat"
author_org_name,keyword,true,"Author organization name from SortingHat profile.","GrimoireLab / SortingHat"
author_uuid,keyword,true,"Author UUID from SortingHat.","GrimoireLab / SortingHat"
branches,keyword,true,"List of branches where the commit appears.","Data Source / Parsed"
co_developed_by_multi_bots,boolean,true,"List of true if the given co-developed authors are identified as bots.","GrimoireLab / SortingHat"
co_developed_by_multi_domains,keyword,true,"List of domains associated to the co-developed authors in SortingHat profile.","GrimoireLab / SortingHat"
co_developed_by_multi_names,keyword,true,"List of co-developed authors' names.","GrimoireLab / SortingHat"
co_developed_by_multi_org_names,keyword,true,"List of the co-developed author organizations from SortingHat profile.","GrimoireLab / SortingHat"
co_developed_by_multi_uuids,keyword,true,"List of the co-developed authors UUID from SortingHat.","GrimoireLab / SortingHat"
commit_date_hour,long,true,"Hour of the day when the committer made the commit.","Data Source / Parsed"
commit_date_weekday,long,true,"Day of the week when the committer made the commit.","Data Source / Parsed"
