name,type,aggregatable,description,Raw / Calculated
<Cross-references fields>,NA,NA,"Fields coming from cross references study (available only when it is active), see cross_references.csv.",
actor_bot,boolean,TRUE,True/False if the event actor is a bot or not from SortingHat profile.,GrimoireLab / SortingHat
actor_domain,keyword,TRUE,Event actor domain name from SortingHat profile.,GrimoireLab / SortingHat
actor_gender,keyword,TRUE,"Event actor gender, based on her name, from SortingHat (disabled by default).",GrimoireLab / SortingHat
actor_gender_acc,float,TRUE,Event actor gender accuracy from SortingHat (disabled by default).,GrimoireLab / SortingHat
actor_id,keyword,TRUE,Event actor ID from SortingHat profile.,GrimoireLab / SortingHat
actor_name,keyword,TRUE,Event actor name from SortingHat profile.,GrimoireLab / SortingHat
actor_org_name,keyword,TRUE,Event actor organization name from SortingHat profile.,GrimoireLab / SortingHat
actor_multi_org_names,keyword,TRUE,List of the actor organizations from SortingHat profile.,GrimoireLab / SortingHat
actor_user_name,keyword,TRUE,Event actor username from SortingHat profile.,GrimoireLab / SortingHat
actor_uuid,keyword,TRUE,Event actor UUID from SortingHat profile.,GrimoireLab / SortingHat
author_bot,boolean,TRUE,True/False if the event author is a bot or not from SortingHat profile.,GrimoireLab / SortingHat
author_domain,keyword,TRUE,Event actor domain name from SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,TRUE,"Event actor gender, based on her name, from SortingHat (disabled by default).",GrimoireLab / SortingHat
author_gender_acc,float,TRUE,Event actor gender accuracy from SortingHat (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,TRUE,Event actor ID from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,TRUE,Event actor name from SortingHat profile.,GrimoireLab / SortingHat
author_org_name,keyword,TRUE,Event actor organization name from SortingHat profile.,GrimoireLab / SortingHat
author_multi_org_names,keyword,TRUE,List of the actor organizations from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,TRUE,Event actor username from SortingHat profile.,GrimoireLab / SortingHat
author_uuid,keyword,TRUE,Event actor UUID from SortingHat profile.,GrimoireLab / SortingHat
board_closed_at,date,TRUE,Date when the board was closed.,Data Source / Parsed
board_column,keyword,TRUE,Name of the column where the issue is.,Data Source / Parsed
board_created_at,date,TRUE,Date when the board was created.,Data Source / Parsed
board_name,keyword,TRUE,Name of the board.,Data Source / Parsed
board_previous_column,keyword,TRUE,Name of the previous column where the issue was.,Data Source / Parsed
board_state,keyword,TRUE,State of the board (open/closed).,Data Source / Parsed
board_updated_at,date,TRUE,Date when the board was updated.,Data Source / Parsed
board_url,keyword,TRUE,URL of the board.,Data Source / Parsed
closer_closed,boolean,TRUE,True/False if the pull request is closed or not.,Data Source / Parsed
closer_closed_at,date,TRUE,Date when the pull request was closed.,Data Source / Parsed
closer_created_at,date,TRUE,Date when the pull request was created.,Data Source / Parsed
closer_event_url,keyword,TRUE,URL where the closed event occurred.,Data Source / Parsed
closer_event_url,boolean,TRUE,True/False if the pull request is merged or not.,Data Source / Parsed
closer_number,long,TRUE,Number of the pull request.,Data Source / Parsed
closer_pull_submitter,keyword,TRUE,Pull request submitter login.,Data Source / Parsed
closer_repo,keyword,TRUE,Repository of the pull request.,Data Source / Parsed
closer_type,keyword,TRUE,Type of the closer object (currently only pull requests are processed).,Data Source / Parsed
closer_updated_at,date,TRUE,Date when the pull request was updated.,Data Source / Parsed
closer_url,keyword,TRUE,URL of the pull request.,Data Source / Parsed
created_at,date,TRUE,Date when the event was created.,Data Source / Parsed
duration_from_previous_event,long,TRUE,Duration in days from the previous event (added by duration analysis study).,GrimoireLab
event_type,keyword,TRUE,Type of the event processed.,Data Source / Parsed
github_repo,keyword,TRUE,GitHub repository name of the issue.,Data Source / Parsed
grimoire_creation_date,date,TRUE,Pull Request creation date.,Data Source / Parsed
is_github_issue,long,TRUE,Used to separate issues from other items such as pull requests.,Data Source / Parsed
issue_closed_at,date,TRUE,Date when the issue was closed.,Data Source / Parsed
issue_created_at,date,TRUE,Date when the issue was opened.,Data Source / Parsed
issue_id,long,TRUE,Issue's ID in GitHub.,Data Source / Parsed
id_in_repo,keyword,TRUE,The issue's ID in the repository it was created.,Data Source / Parsed
issue_labels,keyword,TRUE,The labels assigned to an issue.,Data Source / Parsed
issue_state,keyword,TRUE,State of the item (open/closed).,Data Source / Parsed
issue_updated_at,date,TRUE,Date when the issue was last updated.,Data Source / Parsed
issue_url_id,keyword,TRUE,Consists of the project path and the issue's id.,Data Source / Parsed
issue_url,keyword,TRUE,Full URL of the issue.,Data Source / Parsed
item_type,keyword,TRUE,The type of the item (issue/pull request).,Data Source / Parsed
label,keyword,TRUE,Label name.,Data Source / Parsed
label_description,keyword,TRUE,Label description.,Data Source / Parsed
label_created_at,date,TRUE,Date when the label was created.,Data Source / Parsed
label_is_default,boolean,TRUE,True/False whether the label is a GitHub default one.,Data Source / Parsed
label_updated_at,date,TRUE,Date when the label was updated.,Data Source / Parsed
merge_closed,boolean,TRUE,True/False if the pull request is closed or not.,Data Source / Parsed
merge_closed_at,date,TRUE,Date when the pull request was closed.,Data Source / Parsed
merge_created_at,date,TRUE,Date when the pull request was created.,Data Source / Parsed
merge_merged,boolean,TRUE,True/False if the pull request is merged or not.,Data Source / Parsed
merge_merged_at,date,TRUE,Date when the pull request was merged.,Data Source / Parsed
merge_updated_at,date,TRUE,Date when the pull request was updated.,Data Source / Parsed
merge_url,string,TRUE,URL of the pull request.,Data Source / Parsed
metadata__enriched_on,date,TRUE,Date when the data were enriched.,Data Source / Parsed
metadata__gelk_backend_name,keyword,TRUE,Name of the backend used to enrich the data.,GrimoireLab
metadata__gelk_version,keyword,TRUE,Version of the backend used to enrich the data.,GrimoireLab
metadata__timestamp,date,TRUE,Date when the item was stored in ElasticSearch raw index.,GrimoireLab
metadata__updated_on,date,TRUE,Date when the item was updated on its original data source.,GrimoireLab
origin,keyword,TRUE,The original URL from which the repository was retrieved from.,Data Source / Parsed
previous_event_uuid,keyword,TRUE,Previous event uuid (added by duration analysis study).,GrimoireLab
project_1,keyword,TRUE,Used if more than one project levels are allowed in the project hierarchy.,GrimoireLab
project,keyword,TRUE,Project name.,GrimoireLab
pull_request,boolean,TRUE,True/False if the item is a pull request or not.,GrimoireLab
reference_will_close_target,boolean,TRUE,True/False if the target will be closed when the source is merged.,GrimoireLab
reference_cross_repo,boolean,TRUE,True/False if the reference originated in a different repository.,GrimoireLab
reference_event_url,keyword,TRUE,URL of the reference event.,Data Source / Parsed
reference_source_closed,boolean,TRUE,True/False if the source is closed or not.,Data Source / Parsed
reference_source_closed_at,date,TRUE,Date when the source was closed.,Data Source / Parsed
reference_source_created_at,date,TRUE,Date when the source was created.,Data Source / Parsed
reference_source_merged,boolean,TRUE,True/False if the source was merged or not.,Data Source / Parsed
reference_source_number,long,TRUE,Number of the source.,Data Source / Parsed
reference_source_repo,keyword,TRUE,Repo of the source.,Data Source / Parsed
reference_source_type,keyword,TRUE,Type of the source (issue/pull request).,Data Source / Parsed
reference_source_updated_at,date,TRUE,Date when the source was updated.,Data Source / Parsed
reference_source_url,keyword,TRUE,URL of the source.,Data Source / Parsed
reporter_bot,boolean,TRUE,True/False if the issue reporter is a bot or not from SortingHat profile.,GrimoireLab / SortingHat
reporter_domain,keyword,TRUE,Issue reporter domain name from SortingHat profile.,GrimoireLab / SortingHat
reporter_gender,keyword,TRUE,"Issue reporter gender, based on her name, from SortingHat (disabled by default).",GrimoireLab / SortingHat
reporter_gender_acc,float,TRUE,Issue reporter gender accuracy from SortingHat (disabled by default).,GrimoireLab / SortingHat
reporter_id,keyword,TRUE,Issue reporter ID from SortingHat profile.,GrimoireLab / SortingHat
reporter_name,keyword,TRUE,Issue reporter name from SortingHat profile.,GrimoireLab / SortingHat
reporter_org_name,keyword,TRUE,Issue reporter organization name from SortingHat profile.,GrimoireLab / SortingHat
reporter_multi_org_names,keyword,TRUE,List of the reporter organizations from SortingHat profile.,GrimoireLab / SortingHat
reporter_user_name,keyword,TRUE,Issue reporter username from SortingHat profile.,GrimoireLab / SortingHat
reporter_uuid,keyword,TRUE,Issue reporter UUID from SortingHat profile.,GrimoireLab / SortingHat
repository,keyword,TRUE,Repository name.,Data Source / Parsed
repository_labels,keyword,TRUE,Custom repository labels defined by the user.,Data Source / Parsed
submitter_bot,boolean,TRUE,True/False if the pull request submitter is a bot or not from SortingHat profile.,GrimoireLab / SortingHat
submitter_domain,keyword,TRUE,Pull request submitter domain name from SortingHat profile.,GrimoireLab / SortingHat
submitter_gender,keyword,TRUE,"Pull request submitter gender, based on her name, from SortingHat (disabled by default).",GrimoireLab / SortingHat
submitter_gender_acc,float,TRUE,Pull request submitter gender accuracy from SortingHat (disabled by default).,GrimoireLab / SortingHat
submitter_id,keyword,TRUE,Pull request submitter ID from SortingHat profile.,GrimoireLab / SortingHat
submitter_name,keyword,TRUE,Pull request submitter name from SortingHat profile.,GrimoireLab / SortingHat
submitter_org_name,keyword,TRUE,Pull request submitter organization name from SortingHat profile.,GrimoireLab / SortingHat
submitter_multi_org_names,keyword,TRUE,List of the pull request submitter organizations from SortingHat profile.,GrimoireLab / SortingHat
submitter_user_name,keyword,TRUE,Pull request submitter username from SortingHat profile.,GrimoireLab / SortingHat
submitter_uuid,keyword,TRUE,Pull request submitter UUID from SortingHat profile.,GrimoireLab / SortingHat
tag,keyword,TRUE,Perceval tag.,GrimoireLab
title,keyword,TRUE,The title of the Pull Request.,Data Source / Parsed
title_analyzed,text,FALSE,Pull Request title split by terms to allow searching.,Data Source / Parsed
uuid,keyword,TRUE,Perceval UUID.,GrimoireLab
