name,type,aggregatable,description,Raw / Calculated
<Cross-references fields>,NA,NA,"Fields coming from cross references study (available only when it is active), see cross_references.csv.",
assignee_data_bot,boolean,TRUE,True/False if the assignee is a bot or not.,GrimoireLab / SortingHat
assignee_data_domain,keyword,TRUE,Assignee's domain name from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_id,keyword,TRUE,Assignee's id from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_name,keyword,TRUE,Assignee's name.,GrimoireLab / SortingHat
assignee_data_org_name,keyword,TRUE,Assignee's organization name from SortingHat profile.,GrimoireLab / SortingHat
assignee_multi_org_names,keyword,TRUE,List of the assignee organizations from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_user_name,keyword,TRUE,Assignee's username from SortingHat profile.,GrimoireLab / SortingHat
assignee_data_uuid,keyword,TRUE,Assignee's UUID from SortingHat profile.,GrimoireLab / SortingHat
assignee_domain,keyword,TRUE,Assignee's domain name from GitHub.,Data Source / Parsed
assignee_geolocation,geo_point,TRUE,Assignee's global location using coordinates.,Data Source / Parsed
assignee_location,keyword,TRUE,Assignee's geographical location.,Data Source / Parsed
assignee_login,keyword,TRUE,Assignee's login name from GitHub.,Data Source / Parsed
assignee_name,keyword,TRUE,Assignee's name from GitHub.,Data Source / Parsed
assignee_org,keyword,TRUE,Assignee's organization name from GitHub.,Data Source / Parsed
author_bot,boolean,TRUE,True/False if the author is a bot or not.,GrimoireLab / SortingHat
author_domain,keyword,TRUE,Author's domain name from SortingHat profile.,GrimoireLab / SortingHat
author_id,keyword,TRUE,Author's ID from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,TRUE,Author's name.,GrimoireLab / SortingHat
author_org_name,keyword,TRUE,Author's organization name from SortingHat profile.,GrimoireLab / SortingHat
author_multi_org_names,keyword,TRUE,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,TRUE,Author's username from SortingHat profile.,GrimoireLab / SortingHat
author_uuid,keyword,TRUE,Author's UUID from SortingHat profile.,GrimoireLab / SortingHat
closed_at,date,TRUE,Date when an issue was closed.,Data Source / Parsed
created_at,date,TRUE,Date when an issue was opened.,Data Source / Parsed
demography_max_date,date,TRUE,Date of the latest issue of the corresponding author. Available only when demography study is active.,Data Source / Parsed
demography_min_date,date,TRUE,Date of the first (oldest) issue of the corresponding author. Available only when demography study is active.,Data Source / Parsed
github_repo,keyword,TRUE,The name of the GitHub repository.,Data Source / Parsed
grimoire_creation_date,date,TRUE,Issue creation date.,Data Source / Parsed
id_in_repo,keyword,TRUE,The issue's ID in the repository it was created.,Data Source / Parsed
id,long,TRUE,Issue's ID in GitHub.,Data Source / Parsed
is_github_issue,long,TRUE,Used to separate issues from other items such as pull requests.,Data Source / Parsed
issue_url,keyword,TRUE,Full URL of the issue.,Data Source / Parsed
item_type,keyword,TRUE,The type of the item (issue/pull request).,Data Source / Parsed
labels,keyword,TRUE,The labels assigned to an issue.,Data Source / Parsed
metadata__enriched_on,date,TRUE,Date when the data were enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,TRUE,Name of the backend used to enrich the data.,GrimoireLab
metadata__gelk_version,keyword,TRUE,Version of the backend used to enrich the data.,GrimoireLab
metadata__timestamp,date,TRUE,Date when the item was stored in ElasticSearch raw index.,GrimoireLab
metadata__updated_on,date,TRUE,Date when the item was updated on its original data source.,GrimoireLab
origin,keyword,TRUE,The original URL from which the repository was retrieved from.,Data Source / Parsed
project_1,keyword,TRUE,Used if more than one project levels are allowed in the project hierarchy.,GrimoireLab
project,keyword,TRUE,Project name.,GrimoireLab
pull_request,boolean,TRUE,True/False if the item is a pull request or not.,Data Source / Parsed
repository,keyword,TRUE,Repository name.,Data Source / Parsed
repository_labels,keyword,TRUE,Custom repository labels defined by the user.,Data Source / Parsed
state,keyword,TRUE,State of the item (open/closed).,Data Source / Parsed
tag,keyword,TRUE,Perceval tag.,GrimoireLab
time_open_days,float,TRUE,Time the item is open counted in days.,GrimoireLab
time_to_close_days,float,TRUE,Time to close an issue counted in days.,GrimoireLab
time_to_first_attention,float,TRUE,Time to first attention to an issue counted in days.,GrimoireLab
title_analyzed,text,FALSE,Issue title split by terms to allow searching.,Data Source / Parsed
title,keyword,TRUE,The title of the issue.,Data Source / Parsed
updated_at,date,TRUE,Date when the issue was last updated.,Data Source / Parsed
url_id,keyword,TRUE,Consists of the project path and the issue's id.,Data Source / Parsed
url,keyword,TRUE,Full URL of the issue.,Data Source / Parsed
