name,type,aggregatable,description,Raw / Calculated
<Cross-references fields>,NA,NA,"Fields coming from cross references study (available only when it is active), see cross_references.csv.",
additions,long,TRUE,Number of additions in the Pull Request.,GrimoireLab
assignee_geolocation,geo_point,TRUE,Pull Request assignee geolocation from GitHub.,Data Source / Parsed
author_bot,boolean,TRUE,True/False if the Pull Request author is a bot or not from SortingHat profile.,GrimoireLab / SortingHat
author_domain,keyword,TRUE,Pull Request author domain name from SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,TRUE,"Pull Request author gender, based on her name, from SortingHat (disabled by default).",GrimoireLab / SortingHat
author_gender_acc,float,TRUE,Pull Request author gender accuracy from SortingHat (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,TRUE,Pull Request author ID from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,TRUE,Pull Request author name from SortingHat profile.,GrimoireLab / SortingHat
author_org_name,keyword,TRUE,Pull Request author organization name from SortingHat profile.,GrimoireLab / SortingHat
author_multi_org_names,keyword,TRUE,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,TRUE,Pull Request author username from SortingHat profile.,GrimoireLab / SortingHat
author_uuid,keyword,TRUE,Pull Request author UUID from SortingHat profile.,GrimoireLab / SortingHat
changed_files,long,TRUE,Number of changed files in the Pull Request.,GrimoireLab
closed_at,date,TRUE,Date in which the Issue was closed.,Data Source / Parsed
code_merge_duration,float,TRUE,Difference in days between creation and merging dates.,GrimoireLab
created_at,date,TRUE,Date in which the Issue was created.,Data Source / Parsed
deletions,long,TRUE,Number of deletions in the Pull Request.,GrimoireLab
forks,long,TRUE,Number of repository forks.,Data Source / Parsed
github_repo,keyword,TRUE,GitHub repository name.,Data Source / Parsed
grimoire_creation_date,date,TRUE,Pull Request creation date.,Data Source / Parsed
id,long,TRUE,ID in GitHub.,Data Source / Parsed
id_in_repo,keyword,TRUE,ID in the GitHub repository it was created.,Data Source / Parsed
issue_url,keyword,TRUE,Full URL of the issue.,Data Source / Parsed
is_github_pull_request,long,TRUE,"1 indicating this is a Pull Request, used for counting in case other kind of items could be stored in the same index or alias.",Data Source / Parsed
item_type,keyword,TRUE,"Item type, in this case 'pull request'",Data Source / Parsed
labels,keyword,TRUE,Pull Request assigned labels.,Data Source / Parsed
merge_author_domain,keyword,TRUE,Merge author domain from GitHub.,Data Source / Parsed
merge_author_geolocation,geo_point,TRUE,Merge author geolocation from GitHub.,Data Source / Parsed
merge_author_location,keyword,TRUE,Merge author location as string from GitHub.,Data Source / Parsed
merge_author_login,keyword,TRUE,Merge author login from GitHub.,Data Source / Parsed
merge_author_name,keyword,TRUE,Merge author name from GitHub.,Data Source / Parsed
merge_author_org,keyword,TRUE,Merge author organization from GitHub.,Data Source / Parsed
merged,boolean,TRUE,True if the Pull Request was already merged.,Data Source / Parsed
merged_at,date,TRUE,Date when the Pull Request was merged.,Data Source / Parsed
merged_by_data_bot,boolean,TRUE,"True/False if the merge author is a bot or not, from SortingHat profile.",GrimoireLab / SortingHat
merged_by_data_domain,keyword,TRUE,Merge author domain from SortingHat profile.,GrimoireLab / SortingHat
merged_by_data_gender,keyword,TRUE,"Merge author gender, based on her name, from SortingHat profile(disabled by default).",GrimoireLab / SortingHat
merged_by_data_gender_acc,float,TRUE,Merge author gender accuracy from SortingHat profile(disabled by default).,GrimoireLab / SortingHat
merged_by_data_id,keyword,TRUE,Merge author's ID from SortingHat profile.,GrimoireLab / SortingHat
merged_by_data_name,keyword,TRUE,Merge author name from SortingHat profile.,GrimoireLab / SortingHat
merged_by_data_org_name,keyword,TRUE,Merge author organization from SortingHat profile.,GrimoireLab / SortingHat
merged_by_multi_org_names,keyword,TRUE,List of the merge author organizations from SortingHat profile.,GrimoireLab / SortingHat
merged_by_data_user_name,keyword,TRUE,Merge author username from SortingHat profile.,GrimoireLab / SortingHat
merged_by_data_uuid,keyword,TRUE,Merge author UUID from SortingHat profile.,GrimoireLab / SortingHat
