name,type,aggregatable,description
assignee_bot,boolean,true,"True if the given assignee is identified as a bot."
assignee_domain,keyword,true,"Domain associated to the assignee in SortingHat profile."
assignee_gender,keyword,true,"Assignee gender, based on her name (disabled by default)."
assignee_gender_acc,long,true,"Assignee gender accuracy (disabled by default)."
assignee_id,keyword,true,"Assignee Id from SortingHat."
assignee_name, keyword,true,"Assignee name."
assignee_org_name,keyword,true,"Assignee organization name."
assignee_user_name,keyword,true,"Assignee user name from SortingHat."
assignee_username,keyword,true,"Assignee user name from GitLab."
assignee_uuid,keyword,true,"Assignee UUID from SortingHat."
author_bot,boolean,true,"True if the given author is identified as a bot."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_gender,keyword,true,"Author gender, based on her name (disabled by default)."
author_gender_acc,keyword,true,"Author gender accuracy (disabled by default)."
author_id,keyword,true,"Author Id from SortingHat."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Author organization name."
author_user_name,keyword,true,"Author user name from SortingHat."
author_username,keyword,true,"Author user name from GitLab."
author_uuid,keyword,true,"Author UUID from SortingHat."
closed_at,date,true,"Date in which the Issue was closed."
created_at,date,true,"Date in which the Issue was created."
gitlab_repo,keyword,true,"GitLab repository name."
grimoire_creation_date,date,true,"Issue creation date."
id,long,true,"Issue Id in GitLab."
id_in_repo,keyword,true,"Issue Id in the repository it belongs to."
is_gitlab_issue,long,true,"1 indicating this is an Issue, used for counting in case other kind of items could be stored in the same index or alias."
labels,keyword,true,"Issue assigned labels."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated on its original data source."
milestone,keyword,true,"Assigned milestone."
origin,keyword,true,"Original URL where the repository was retrieved from."
project,keyword,true,"Project."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)."
repository,keyword,true,"Repository name."
state,keyword,true,"'opened' or 'closed'."
tag,keyword,true,"Perceval tag."
time_open_days,float,true,"Time open in days."
time_to_close_days,float,true,"Time to close Issue in days."
time_to_first_attention,float,true,"Time from creation to first comment or reaction (whatever occurs first) added by an author different from the one who created this Issue."
title,keyword,true,"Issue title."
title_analyzed,text,false,"Issue title split by by terms to allow searching."
updated_at,date,true,"Date when the Issue was updated."
url,keyword,true,"Issue URL."
url_id,keyword,true,"Consist of project path and Issue id in that project."
uuid,keyword,true,"Perceval UUID."
