name,type
author_bot,boolean
author_domain,keyword
author_gender,keyword
author_gender_acc,keyword
author_id,keyword
author_name,keyword
author_org_name,keyword
author_user_name,keyword
author_username,keyword
author_uuid,keyword
code_merge_duration,float
created_at,date
gitlab_repo,keyword
grimoire_creation_date,date
id,long
id_in_repo,keyword
is_gitlab_merge_request,long
item_type,keyword
labels,keyword
merge_author_login,keyword
merge_author_domain,keyword
merge_author_location,keyword
merge_author_name,keyword
merge_author_org,keyword
merge_request,boolean
merged,boolean
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
milestone,keyword
num_notes,long
num_versions,long
origin,keyword
project,keyword
project_1,keyword
repository,keyword
state,keyword
tag,keyword
time_open_days,float
time_to_close_days,float
time_to_first_attention,float
title,keyword
title_analyzed,text
updated_at,date
url,keyword
url_id,keyword
uuid,keyword
