name,type,aggregatable,description
assignee_bot,boolean,true,"True if the given assignee is identified as a bot."
assignee_domain,keyword,true,"Domain associated to the assignee in SortingHat profile."
assignee_gender,keyword,true,"Assignee gender, based on her name (disabled by default)."
assignee_gender_acc,long,true,"Assignee gender accuracy (disabled by default)."
assignee_id,keyword,true,"Assignee ID from SortingHat."
assignee_login,keyword,true,"Assignee's login name from GitLab."
assignee_multi_org_names,keyword,true,"List of the assignee organizations from SortingHat profile."
assignee_name,keyword,true,"Assignee name."
assignee_org_name,keyword,true,"Assignee organization name."
assignee_user_name,keyword,true,"Assignee user name from SortingHat."
assignee_uuid,keyword,true,"Assignee UUID from SortingHat."
author_bot,boolean,true,"True if the given author is identified as a bot, from SortingHat profile."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_gender,keyword,true,"Author gender, based on her name (disabled by default)."
author_gender_acc,long,true,"Author gender accuracy (disabled by default)."
author_id,keyword,true,"Author ID from SortingHat."
author_login,keyword,true,"Author's login name from GitLab."
author_multi_org_names,keyword,true,"List of the author organizations from SortingHat profile."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Author organization name."
author_user_name,keyword,true,"Author user name from SortingHat."
author_uuid,keyword,true,"Author UUID from SortingHat."
body,keyword,true,"Body of the issue/comment."
body_analyzed,text,true,"Body of the issue/comment."
comment_updated_at,date,true,"Date when the comment was updated."
gitlab_repo,keyword,true,"The name of the GitLab repository."
grimoire_creation_date,date,true,"Issue/comment creation date."
id,keyword,true,"Issue/comment ID."
is_gitlab_comment,long,true,"Used to unify issue and issue comments."
is_gitlab_issue,long,true,"Used to separate issues from comments."
is_gitlab_issue_comment,long,true,"Used to separate comments from issues."
issue_closed_at,date,true,"Date when an issue was closed."
issue_created_at,date,true,"Date when an issue was opened."
issue_id,long,true,"Issue ID on GitLab."
issue_id_in_repo,keyword,true,"The issue's ID in the repository."
issue_labels,keyword,true,"The labels assigned to an issue."
issue_state,keyword,true,"State of the issue (open/closed)."
issue_title,keyword,true,"The title of the issue."
issue_title_analyzed,keyword,true,"Issue title split by terms to allow searching."
issue_updated_at,date,true,"Date when the issue was last updated."
issue_url,keyword,true,"Full URL of the issue."
item_type,keyword,true,"The type of the item (issue/comment)."
metadata__enriched_on,date,true,"Date when the data were enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich the data."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich the data."
metadata__timestamp,date,true,"Date when the item was stored in ElasticSearch raw index."
metadata__updated_on,date,true,"Date when the item was updated on its original data source."
origin,keyword,true,"The original URL from which the repository was retrieved from."
project,keyword,true,"Project name."
project_1,keyword,true,"Used if more than one project levels are allowed in the project hierarchy."
reactions.count,long,true,"Number of reactions of a given type."
reactions.type,keyword,true,"Name of reaction to comment/issue."
reactions_total_count,long,true,"Total number of reactions to comment/issue."
repository,keyword,true,"Repository name."
sub_type,keyword,true,"Type of the comment (issue comment)."
tag,keyword,true,"Perceval tag."
time_open_days,float,true,"Time the item is open counted in days."
time_to_close_days,float,true,"Time to close an issue counted in days."
time_to_first_attention,float,true,"Time to first attention to an issue counted in days."
title_analyzed,text,true,"Issue title split by by terms to allow searching."
url,keyword,true,"Url of the issue/comment."
uuid,keyword,true,"Perceval UUID."
