name,type,aggregatable,description
author_bot,boolean,true,"True if the given author is identified as a bot."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_gender,keyword,true,"Author gender, based on her name (disabled by default)."
author_gender_acc,long,true,"Author gender accuracy (disabled by default)."
author_id,keyword,true,"Author ID from SortingHat."
author_login,keyword,true,"Author's login name from GitLab."
author_multi_org_names,keyword,true,"List of the author organizations from SortingHat profile."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Author organization name."
author_user_name,keyword,true,"Author user name from SortingHat."
author_uuid,keyword,true,"Author UUID from SortingHat."
body,keyword,true,"Body of the merge request/comment."
body_analyzed,text,true,"Body of the merge request/comment."
code_merge_duration,float,true,"Difference in days between creation and merging dates."
comment_updated_at,date,true,"Date when the comment was updated."
gitlab_repo,keyword,true,"The name of the GitLab repository."
grimoire_creation_date,date,true,"Merge request/comment creation date."
id,keyword,true,"Merge request/comment ID."
is_gitlab_comment,long,true,"Used to unify merge request and merge request comments."
is_gitlab_merge_comment,long,true,"Used to separate merge requests from comments."
is_gitlab_merge_request,long,true,"Used to separate merge requests from issues."
item_type,keyword,true,"The type of the item (merge request/comment)."
merge_author_login,keyword,true,"Merge author login from GitLab."
merge_author_name,keyword,true,"Merge author name from GitLab."
merge_closed_at,date,true,"Date in which the merge request was closed."
merge_created_at,date,true,"Date in which the merge request was closed."
merge_id,long,true,"Merge request ID in the GitLab repository."
merge_id_in_repo,keyword,true,"The merge request's ID in the repository."
merge_labels,keyword,true,"The labels assigned to an merge request."
merge_merged_at,date,true,"Date when the merge request was merged."
merge_state,keyword,true,"State of the merge request (open/closed/merged)."
merge_status,keyword,true,"State of the merge request (can_be_merged/can_be_closed)."
merge_title,keyword,true,"The title of the merge request."
merge_title_analyzed,keyword,true,"Merge request title split by terms to allow searching."
merge_updated_at,date,true,"Date when the merge request was last updated."
merge_url,keyword,true,"Full URL of the merge request."
merged_by_bot,boolean,true,"True if the merge author is identified as a bot, from SortingHat profile."
merged_by_domain,keyword,true,"Domain associated to the merge author in SortingHat profile."
merged_by_gender,keyword,true,"Merge author gender, based on her name (disabled by default)."
merged_by_gender_acc,long,true,"Merge author gender accuracy (disabled by default)."
merged_by_id,keyword,true,"Merge author ID from SortingHat."
merged_by_multi_org_names,keyword,true,"List of the merge author organizations from SortingHat profile."
merged_by_name,keyword,true,"Merge author name."
merged_by_org_name,keyword,true,"Merge author organization name."
merged_by_user_name,keyword,true,"Merge author user name from SortingHat."
merged_by_uuid,keyword,true,"Merge author UUID from SortingHat."
metadata__enriched_on,date,true,"Date when the data were enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich the data."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich the data."
metadata__timestamp,date,true,"Date when the item was stored in ElasticSearch raw index."
metadata__updated_on,date,true,"Date when the item was updated on its original data source."
num_merge_comments,long,true,"Number of merge request comments."
num_versions,long,true,"Number of versions"
origin,keyword,true,"The original URL from which the repository was retrieved from."
project,keyword,true,"Project name."
project_1,keyword,true,"Used if more than one project levels are allowed in the project hierarchy."
reactions.count,long,true,"Number of reactions of a given type."
reactions.type,keyword,true,"Name of reaction to comment/issue."
reactions_total_count,long,true,"Total number of reactions to comment/issue."
repository,keyword,true,"Repository name."
sub_type,keyword,true,"Type of the comment (merge request comment)."
tag,keyword,true,"Perceval tag."
time_open_days,float,true,"Time the item is open counted in days."
time_to_close_days,float,true,"Time to close a merge request counted in days."
time_to_merge_request_response,float,true,"Time to merge a merge request counted in days."
title_analyzed,text,true,"Issue title split by by terms to allow searching."
url,keyword,true,"Url of the merge request/comment."
uuid,keyword,true,"Perceval UUID."
