name,type,aggregatable,description
author_bot,boolean,true,"True if the given author is identified as a bot."
author_domain,keyword,true,"Author domain from Email. "
author_gender,keyword,true,"Author gender. "
author_id,keyword,true,"Author Id from SortingHat."
author_multi_org_names,keyword,true,"List of the author organizations from SortingHat profile."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Author organization name from SortingHat profile."
author_user_name,keyword,true,"Author username for the platform"
author_uuid,keyword,true,"Author UUID from SortingHat."
fromUser_bot,boolean,true,"True if the given sender is identified as a bot."
fromUser_domain,keyword,true,"Sender domain from Email. "
fromUser_gender,keyword,true,"Author gender. "
fromUser_id,keyword,true,"Sender Id from SortingHat."
fromUser_multi_org_names,keyword,true,"List of the sender organizations from SortingHat profile."
fromUser_name,keyword,true,"Sender name."
fromUser_org_name,keyword,true,"Sender organization name from SortingHat profile."
fromUser_user_name,keyword,true,"Sender username for the platform"
fromUser_uuid,keyword,true,"Sender UUID from SortingHat."
grimoire_creation_date,date,true,"Message date (when the original author sent the message)."
id,keyword,true,"Message sender user ID for gitter. "
is_gitter_message,boolean,true,"True if the item is a Gitter message. "
issues,list,true,"List of issues mentioned in the message, Empty if no issues were mentioned. "
mentioned,list,true,"List of users mentioned in the message, Empty if no user is mentioned. "
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated in its original data source."
origin,keyword,true,"Original URL where the room was retrieved from."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)"
project,keyword,true,"Project."
readBy,int,true,"Count of users who have read the message"
repository_labels,keyword,true,"Custom repository labels defined by the user."
tag,keyword,true,"Perceval tag."
text_analyzed,keyword,true,"Message body in plain text. "
tz,int,true,"Time of the day the message was sent. "
unread,boolean,true,"True if the message is unread by user, False if read. "
url_hostname,list,true,"List of URL hostnames of the URL(s) mentioned in the message."
uuid,keyword,true,"Perceval UUID."
