name,type,aggregatable,description
author,string,true,"Author name."
author_date,date,true,"Author date (when the original author made the commit)."
commit_date,date,true,"Date when committer made this commit."
commit_sha,string,true,"Commit hash."
committer,string,true,"Author name."
copyrights,string,true,"Copyright definitions found in file by analyzer."
file_path,string,true,"File Path"
grimoire_creation_date,date,true,"Commit date (when the original author made the commit)."
has_copyright,number,true,"1 if copyright definition exists else 0"
has_license,number,true,"1 if license definition exists else 0"
id,string,true,"Graal Item Id."
license_name,string,true,"License definitions found in file by analyzer"
licenses,string,true,"License keyword/tag."
message,string,true,"Commit message as a single String."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated in its original data source."
modules,string,true,"Modules which the file is part of."
origin,keyword,true,"Original URL where the repository was retrieved from."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)"
project,keyword,true,"Project."
repo_url,keyword,true,"Anonymized URL where the repository was retrieved from."
tag,keyword,true,"Graal tag."
uuid,keyword,true,"Graal UUID."
