name,type
author_bot,boolean
author_domain,keyword
author_id,keyword
author_login,keyword
author_name,keyword
author_org_name,keyword
author_tz,keyword
author_user_name,keyword
author_uuid,keyword
changes,long
creation_date,date
grimoire_creation_date,date
is_jira_issue,long
issue_type,keyword
issue_description,keyword
key,keyword
labels,keyword
main_description,keyword
metadata__enriched_on,date
metadata__gelk_backend_name,keyword
metadata__gelk_version,keyword
metadata__timestamp,date
metadata__updated_on,date
number_of_comments,long
ocean-unique-id,keyword
origin,keyword
priority,keyword
progress_total,long
project_1,keyword
project_id,keyword
project_key,keyword
project,keyword
project_name,keyword
repository_labels,keyword
resolution_date,date
resolution_description,keyword
resolution_id,keyword
resolution_name,keyword
resolution_self,keyword
status_description,keyword
status,keyword
summary,keyword
tag,keyword
time_estimation,long
time_spent_hours,float
time_spent,long
time_to_close_days,float
time_to_last_update_days,float
updated,date
url,keyword
user_type,keyword
uuid,keyword
watchers,long
