name,type,aggregatable,description
author_bot,boolean,true,"True if the given author is identified as a bot."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_gender,keyword,true,"Message author gender."
author_gender_acc,long,true,"Accuracy of the message author gender."
author_id,keyword,true,"Author Id from SortingHat."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Organization name."
author_user_name,keyword,true,"Author username from SortingHat."
author_uuid,keyword,true,"Author UUID from SortingHat."
channel_created,date,true,"Date when the channel was created."
channel_delete_at,date,true,"Date when the channel was deleted."
channel_id,keyword,true,"ID of the channel."
channel_message_count,number,true,"Number of messages."
channel_name,keyword,true,"Name of the channel."
channel_team_id,keyword,true,"ID of the channel team."
channel_update_at,date,true,"Date when the channel was updated."
demography_max_date,date,true,"Date of the latest message of the corresponding author. Available only when demography study is active."
demography_min_date,date,true,"Date of the first (oldest) message of the corresponding author. Available only when demography study is active."
file_count,number,true,"Number of files."
files.file_create_at,date,true,"Date when the file was created."
files.file_extension,keyword,true,"File extension."
files.file_mini_preview,keyword,true,"File mini preview."
files.file_name,keyword,true,"File name."
files.file_post_id,keyword,true,"File post ID."
files.file_size,number,true,"File size."
files.file_type,keyword,true,"File type."
files.file_update_at,date,true,"Date when the file was updated."
files.file_user_id,keyword,true,"File user ID."
grimoire_creation_date,date,true,"Date when the message was updated."
hashtags,keyword,true,"Hashtags."
is_mattermost_message,long,true,"Field containing '1' that allows to sum fields when concatenating with other indexes."
is_pinned,number,true,"1 if the message is pinned or 0 in other case."
is_reply,number,true,"1 if the message is a reply or 0 in other case."
message,keyword,true,"Message."
message_analyzed,keyword,true,"Content message split by terms to allow searching."
message_id,keyword,true,"Message ID."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated in its original data source."
origin,keyword,true,"Original URL where the repository was retrieved from."
parent_id,keyword,true,"Parent message ID."
position,keyword,true,"User position."
project,keyword,true,"Project."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)."
reaction_count,long,true,"Number of reactions."
reactions.reaction_create_at,date,true,"Date when the reaction was created.
reactions.reaction_emoji_name,keyword,true,"Name of the emoji."
reactions.reaction_post_id,keyword,true,"Reaction post ID."
reactions.reaction_update_at,date,true,"Date when the reaction was updated."
reactions.reaction_user_id,keyword,true,"Reaction user ID."
reply_count,number,true,"Number of replies."
roles,keyword,true,"User roles."
tag,keyword,true,"Perceval tag."
type,keyword,true,"Message type."
tz,long,true,"Timezone in which the message was made by its original author."
user_data_bot,boolean,true,"True if the given user is identified as a bot."
user_data_domain,keyword,true,"Domain associated to the user in SortingHat profile."
user_data_gender,keyword,true,"Message user gender."
user_data_gender_acc,keyword,true,"Accuracy of the user gender."
user_data_id,keyword,true,"User Id from SortingHat."
user_data_multi_org_names,keyword,true,"Multi organization names."
user_data_name,keyword,true,"Name of the user."
user_data_org_name,keyword,true,"Organization name."
user_data_user_name,keyword,true,"Username of the user."
user_data_uuid,keyword,true,"User UUID from SortingHat."
uuid,keyword,true,"Perceval UUID."
