name,type,aggregatable,description
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Organization name."
author_uuid,keyword,true,"Author UUID from SortingHat."
contributions,long,true,"Number of contributions in this quarter made by this author as member of `author_org_name` and included within `project`."
cum_net_sum,long,true,"Sum of commits used to compute onion."
data_source,keyword,true,"Data source name for which Onion is computed."
grimoire_creation_date,date,true,"Corresponds to timeframe. It is used like an alias through all data sources to identify the field we rely on to sort things in time series and filter events when using Kibana's time picker."
metadata__enriched_on,date,true,"Time when item was enriched to be stored in this index."
metadata__timestamp,date,true,"Time when most recent item of current quarter was written in ElasticSearch (index time in source index)."
onion_role,keyword,true,"Core, regular or casual, see study description in https://github.com/chaoss/grimoirelab-elk/blob/master/doc/studies.md."
percent_cum_net_sum,float,true,"Percentage corresponding to above's `cum_net_sum` field."
project,keyword,true,"Project name."
quarter,keyword,true,"Quarter as String following format YYYYQN."
timeframe,date,true,"Date corresponding to quarter start time."
