name,type,aggregatable,description
author_bot,boolean,true,"True if the given author is identified as a bot."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_gender,keyword,true,"Author gender."
author_gender_acc,keyword,true,"Accuracy to assess author gender."
author_id,keyword,true,"Author Id from SortingHat."
author_multi_org_names,keyword,true,"List of the author organizations from SortingHat profile."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Author organization name from SortingHat profile."
author_user_name,keyword,true,"Author username from Sortinghat profile."
author_uuid,keyword,true,"Author UUID from SortingHat."
avatar,keyword,true,"Avatar associated with User profile."
channel_updated_at,date,true,"Date when channel was updated in UNIX timestamp format."
channel_id,keyword,long,true,"Channel Id of a Slack channel."
channel_num_users,long,true,"Number of members in a Rocketchat channel."
channel_num_messages,long,true,"Number of messages in a Rocketchat channel."
channel_name,keyword,true,"Channel Name."
channel_topic,keyword,true,"Channel Topic."
edited_at,date,true,"Date message was updated in UNIX timestamp format."
edited_by_user_id,keyword,true,"Message editor's user id."
edited_by_username,keyword,true,"Message editor's username."
grimoire_creation_date,date,true,"Message creation date."
file_id,keyword,true,"File id."
file_name,keyword,true,"File name."
file_type,keyword,true,"File type"
is_rocketchat_message,long,true,"1 indicating the item is a message."
is_edited,long,true,"1 indicating the message has been edited"
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated on its original data source."
metadata__filter_raw,keyword,true,"Raw filter"
message_urls.url,keyword,true,"Url on a message."
mentions.id,keyword,true,"Mentions id"
mentions.name,keyword,true,"Mentions name"
mentions.username,keyword,true,"Mentions username"
msg,keyword,true,"Message text."
msg_analyzed,keyword,true,"Message body in plain text."
msg_id,keyword,true,"Message id."
msg_parent,keyword,true,"Message parent."
origin,keyword,true,"Original URL where the channel was retrieved from."
project,keyword,true,"Project."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)."
reactions.names,keyword,true,"Names of users who used a reaction type on a message."
reactions.type,keyword,true,"reaction type on a message."
reactions.username,keyword,true,"Usernames of users who used a reaction type on a message."
replies,long,true,"Number of replies on a message."
repository_labels,keyword,true,"Custom repository labels defined by the user."
rid,keyword,true,"Channel id."
tag,keyword,true,"Perceval tag."
total_reactions,long,true,"Number of reactions in a message"
total_urls,long,true,"Number of urls in a message"
total_mentions,long,true,"Number of mentions in a message"
user_username,keyword,true,"Rocketchat user."
u_bot,long,true,"1 if the given user is identified as a bot."
u_domain,keyword,true,"Domain associated to the user in SortingHat profile."
u_gender,keyword,true,"User gender, based on her name (disabled by default)."
u_gender_acc,long,true,"User gender accuracy (disabled by default)."
u_id,keyword,true,"User Id from SortingHat."
u_multi_org_names,keyword,true,"List of the user organizations from SortingHat profile."
u_name,keyword,true,"User's name from SortingHat profile"
u_org_name,keyword,true,"User's organization name from SortingHat profile."
u_user_name,keyword,true,"User's username from SortingHat profile."
u_uuid,keyword,true,"User's UUID from SortingHat profile."
uuid,keyword,true,"Perceval UUID."
