name,type,aggregatable,description
<Demography contribution fields>,NA,NA,"Fields coming from demography contribution study (available only when it is active), see demography_contribution.csv."
action,long,true,"Numeric identification of action."
action_name,keyword,true,"Text description of action."
author_api_url,keyword,true,"Author API URL."
author_bot,boolean,true,"True if the given author is identified as a bot."
user_data_bot,long,true,"1 if the given user is identified as a bot."
user_data_domain,keyword,true,"Domain associated to the user in SortingHat profile."
user_data_gender,keyword,true,"User gender, based on her name (disabled by default)."
user_data_gender_acc,long,true,"User gender accuracy (disabled by default)."
user_data_id,keyword,true,"User Id from SortingHat."
user_data_multi_org_names,keyword,true,"List of the user organizations from SortingHat profile."
user_data_name,keyword,true,"User's name from SortingHat profile"
user_data_org_name,keyword,true,"User's organization name from SortingHat profile."
user_data_user_name,keyword,true,"User's username from SortingHat profile."
user_data_uuid,keyword,true,"User's UUID from SortingHat profile."
author_domain,keyword,true,"Domain associated to the author in SortingHat profile."
author_id,keyword,true,"Author Id from SortingHat."
author_name,keyword,true,"Author name."
author_org_name,keyword,true,"Author organization name from SortingHat profile."
author_multi_org_names,keyword,true,"List of the author organizations from SortingHat profile."
author_uuid,keyword,true,"Author UUID from SortingHat."
change_api_url,keyword,true,"Change API URL.s"
change_id,keyword,true,"Change ID."
component_api_url,keyword,true,"Component API URL."
component_name,keyword,true,"Name of the component the unit belongs to."
glossary_term,long,true,"Related glossary term object."
grimoire_creation_date,date,true,"Creation date of the unit change"
is_weblate_message,long,true,"Field containing '1' that allows to sum fields when concatenating with other indexes."
metadata__enriched_on,date,true,"Date when the item was enriched."
metadata__gelk_backend_name,keyword,true,"Name of the backend used to enrich information."
metadata__gelk_version,keyword,true,"Version of the backend used to enrich information."
metadata__timestamp,date,true,"Date when the item was stored in RAW index."
metadata__updated_on,date,true,"Date when the item was updated in its original data source."
origin,keyword,true,"Original URL where the unit change was retrieved from."
project,keyword,true,"Project (from the projects panel configuration."
project_1,keyword,true,"Project (if more than one level is allowed in project hierarchy)"
project_name,keyword,true,"Name of the project the unit belongs to."
tag,keyword,true,"Perceval tag."
target,keyword,true,"Target string."
text_analyzed,keyword,true,"Message body in plain text."
translation_api_url,keyword,true,"Translation API URL, following the pattern /api/translations/(project_name)/(component_name)/(translation_name)."
translation_name,keyword,true,"Translation language code."
tz,long,true,"Timezone in which the unit change was made by its original author."
unit_api_url,keyword,true,"Unit API URL."
unit_approved,boolean,true,"Whether the translation is approved."
unit_content_hash,long,true,"Unique identifier of the source string."
unit_context,keyword,true,"Translation unit context."
unit_flags,keyword,true,"Translation unit flags"
unit_fuzzy,boolean,true,"Whether the unit is fuzzy or marked for review."
unit_has_comment,long,true,"Field containing '1' if the unit has comments. It allows to sum fields when concatenating with other indexes."
unit_has_failing_check,long,true,"Field containing '1' if the unit has failing checks. It allows to sum fields when concatenating with other indexes."
unit_has_suggestion,long,true,"Field containing '1' if the unit has suggestions. It allows to sum fields when concatenating with other indexes."
unit_id,long,true,"Unit identifier."
unit_id_hash,long,true,"Unique identifier of the unit."
unit_location,keyword,true,"Location of the unit in source code."
unit_note,keyword,true,"Translation unit note."
unit_num_words,long,true,"Number of source words."
unit_position,long,true,"Unit position in translation file."
unit_previous_source,keyword,true,"Previous source string used for fuzzy matching."
unit_priority,long,true,"Translation priority; 100 is default."
unit_source,keyword,true,"Source string."
unit_target,keyword,true,"Target string."
unit_translated,boolean,true,"Whether the unit is translated."
unit_translation,keyword,true,"URL of a related translation object."
unit_url,keyword,true,"Unit API URL."
unit_web_url,keyword,true,"URL where the unit can be edited."
user_api_url,keyword,true,"User API URL."
user_name,keyword,true,"Username of a given user."
uuid,keyword,true,"Perceval UUID."
